73;;1960_100x50VilgAvanPr1CF87.jpeg;87;1960;100X50;Vilgavanpr;;;
74;345_60_22X35_LA DURANCE_PC;;345;1960;22X35;La durance;paul;;
75;440_1960_65X50_Herbe_PC;1960_65x50Herbe440.jpeg;440;1960;65X50;Herbe;paul;box;
76;;1960_65x50LesBouchures444.jpeg;444;1960;65X50;Les Bouchures;;;
77;449_1960_46x27LesPoires2_PC;1960_46x27LesPoires2_449.jpeg;449;1960;46X27;Les poires;paul;;
78;;1960_65x50Morvan455.jpeg;455;1960;65X50;Morvan;;;
79;464_1960_65X50_Roseaux_3_PC;1960_65x50Roseaux3_464.jpeg;464;1960;65X50;Roseaux;paul;box;
80;;1960_65x50Roseaux1_467.jpeg;467;1960;65X50;Roseaux;;;
81;471_1960_65X50_Village_2;1960_65x50Village2_471.jpeg;471;1960;65X50;Village;;;
82;475_1960_65X50_Village_8_PC;1960_65x50Village8_475.jpeg;475;1960;65X50;Village ;paul;box;
83;;1960_35x22ChBastide584coll_M_Fabre.jpeg;584;1960;35X22;Chbastide;;;
84;;1960_100x50LeCannier585coll_M_Fabre.jpeg;585;1960;100X50;Le Cannier;;;
85;;1960_65x50Oranges586coll_M_Fabre.jpeg;586;1960;65X50;Oranges;;;
86;;1960_100x50Pommes587coll_M_Fabre.jpeg;587;1960;100X50;Pommes;;;
87;;1960_46x33LesPoires610coll_M_Fabre.jpeg;610;1960;46X33;Les poires;;;
88;697_1960_100X73_Roseaux-bleus_PC;1960_100x73_roseaux_bleus_697_cliche_paul.jpeg;697;1960;100X73;Roseaux Bleus;;;
89;;1960_100x73roseaux_dans_l-etang_698__cliche_paul.jpeg;698;1960;100X73;Roseaux dans l'étang;;;
90;699_1960_100X73_Enfant-au-chat_Coll_R_Coupille;1960_100x73enfant_au_chat_699__cliche_paul.jpeg;699;1960;100X73;Enfant au chat;remi;remi;
91;700_1960_100X50_Roseaux-sur-Leau_PC;700_1960_100X50_Roseaux-sur-Leau.jpeg;700;1960;100X50;roseaux sur l eau;paul;box;cliché paul
92;;1960_100x50roseaux_sur_l-eau_700_cliche_paul.jpeg;700;1960;100X50;Roseaux;;;
93;;1960_BAIGNEUSE_A_53x40_714_Cliche_Paul_Coll_fille_Gaby.jpeg;714;1960;53X40;Baigneuse;;;
94;1301_1960_65X50_Roseaux_20_PC;;1301;1960;65X50;Roseaux;paul;box;
95;1302_1960_65X50_Bourgogne_4_PC;;1302;1960;65X50;Bourgogne;paul;box;surface craquelée
96;343_1961_35x27LeBreuil_PC;1961_35x27LeBreuil_343.jpeg;343;1961;35X27;Le breuil;paul;;
